L,p_proj,p_ctrl_index,tmi_mean,tmi_sem
8,pproj0.500,0,-0.06411611420179499,0.0057370703063698335
8,pproj0.500,1,-0.10416100308926779,0.007399883723327379
8,pproj0.500,2,-0.13067962562367005,0.008137384615075828
8,pproj0.500,3,-0.1629144398655802,0.009462888397531413
8,pproj0.500,4,-0.1880714259702983,0.009903152222018397
8,pproj0.500,5,-0.22091535068638263,0.010891110927923076
8,pproj0.500,6,-0.2565397268320287,0.011583335026684748
8,pproj0.500,7,-0.23950967408799442,0.011245207675812104
8,pproj0.500,8,-0.2976485060285897,0.01234377036935397
8,pproj0.500,9,-0.2864683252697855,0.012624483616097587
8,pproj0.500,10,-0.2938520097764895,0.012487100447724706
8,pproj0.500,11,-0.29762178697710956,0.012969646009896694
8,pproj0.500,12,-0.2771856223269812,0.012686217883676614
8,pproj0.500,13,-0.24759095319616709,0.012284636075358695
8,pproj0.500,14,-0.20690387891555248,0.011626749215593915
8,pproj0.500,15,-0.1619483641832842,0.0107125344947192
8,pproj0.500,16,-0.10368431991543026,0.010003695460147195
8,pproj0.500,17,-0.05609280891657647,0.008864194618471979
8,pproj0.500,18,-0.026120846182233315,0.007412827782617533
8,pproj0.500,19,-0.006029199189816265,0.005959132926692264
8,pproj0.500,20,0.004676130164983714,0.00469566058424677
8,pproj0.536,0,-0.030498475944637633,0.003954480548313573
8,pproj0.536,1,-0.058884884394624276,0.005731445424531314
8,pproj0.536,2,-0.08876957278483474,0.006737094624339818
8,pproj0.536,3,-0.12008894553467628,0.008435905714010369
8,pproj0.536,4,-0.1489253302780846,0.009097103336846801
8,pproj0.536,5,-0.16975674704269228,0.00934377260256591
8,pproj0.536,6,-0.1790163343059674,0.009790796028122146
8,pproj0.536,7,-0.21219716809682562,0.010395908733070157
8,pproj0.536,8,-0.22293419251015453,0.011020283642496917
8,pproj0.536,9,-0.23700144079036164,0.011453225273270853
8,pproj0.536,10,-0.22873522066863544,0.011168899854895813
8,pproj0.536,11,-0.2330864208104499,0.011429008576400859
8,pproj0.536,12,-0.21505949614133646,0.011516603198736442
8,pproj0.536,13,-0.1990685821452294,0.01113882583754234
8,pproj0.536,14,-0.17333599064627356,0.011008115790564467
8,pproj0.536,15,-0.12188465876198068,0.01022400997543522
8,pproj0.536,16,-0.08222654530019893,0.009736168884319205
8,pproj0.536,17,-0.04073132664170554,0.008573544982453737
8,pproj0.536,18,-0.01505505505099677,0.007216747451917413
8,pproj0.536,19,0.003714128594268346,0.005248241196444469
8,pproj0.536,20,0.00456963684353075,0.004277574648105181
8,pproj0.571,0,-0.019061547465398527,0.003011907205500333
8,pproj0.571,1,-0.04068562926370657,0.004720109183265369
8,pproj0.571,2,-0.061429604453548656,0.0057539373760769836
8,pproj0.571,3,-0.0856544427248127,0.007242289693014244
8,pproj0.571,4,-0.0933123037143257,0.0072329284751078875
8,pproj0.571,5,-0.12144640974271086,0.00801905518711831
8,pproj0.571,6,-0.14523450122328715,0.008889061348682158
8,pproj0.571,7,-0.14587758684559105,0.009308742671859492
8,pproj0.571,8,-0.16463735150920064,0.009785307596494527
8,pproj0.571,9,-0.1839152188307529,0.01033571475085584
8,pproj0.571,10,-0.16547987552455495,0.010459199645413777
8,pproj0.571,11,-0.17334033402271648,0.010563082190442814
8,pproj0.571,12,-0.16593435822971692,0.010860869456897734
8,pproj0.571,13,-0.14972462654410998,0.009982412783530497
8,pproj0.571,14,-0.11985819898440872,0.009758974419911531
8,pproj0.571,15,-0.09365184638627523,0.009278003829024242
8,pproj0.571,16,-0.05842249609115582,0.008333724215089667
8,pproj0.571,17,-0.017563932785504086,0.007448373136819833
8,pproj0.571,18,-0.0022520019906504575,0.006194984709051955
8,pproj0.571,19,0.014070460440209874,0.004542408866071763
8,pproj0.571,20,0.004729948023558854,0.003737655760754616
8,pproj0.607,0,-0.00901091334727931,0.001888009961710526
8,pproj0.607,1,-0.01607452885732854,0.003402235051361806
